aco_id,par_lbn,aco_name,aco_service_area,agreement_period_num,initial_start_date,current_start_date,re-entering_aco,basic_track,basic_track_level,enhanced_track,high_revenue_aco,low_revenue_aco,adv_pay,aim,aip,snf_3-day_rule_waiver,prospective_assignment,retrospective_assignment,aco_address,aco_public_reporting_website,aco_exec_name,aco_exec_email,aco_exec_phone,aco_public_name,aco_public_email,aco_public_phone,aco_compliance_contact_name,aco_medical_director_name
A2811,ARIZONA COMMUNITY PHYSICIANS PC,Abacus Health LLC,AZ,3,01/01/2016,01/01/2024,0,0,N/A,1,0,1,0,0,0,0,0,1,"5055 East Broadway Blvd., Suite A-215, Tucson, AZ, 85711",http://www.tmcaz.com/abacus-health/about-us/public-reporting,Jim Stelzer,jstelzer@azacp.com,(520) 547-4918,Kimberly Clifton,kclifton@azacp.com,(520) 545-1192,Tracy Rohn,Melissa Levine
A2811,TMC MEDICAL NETWORK,Abacus Health LLC,AZ,3,01/01/2016,01/01/2024,0,0,N/A,1,0,1,0,0,0,0,0,1,"5055 East Broadway Blvd., Suite A-215, Tucson, AZ, 85711",http://www.tmcaz.com/abacus-health/about-us/public-reporting,Jim Stelzer,jstelzer@azacp.com,(520) 547-4918,Kimberly Clifton,kclifton@azacp.com,(520) 545-1192,Tracy Rohn,Melissa Levine
A1596,CARECONNECT HEALTH INC,"Accountable Care Coalition of Georgia, LLC.",GA,4,01/01/2013,01/01/2024,0,0,N/A,1,0,1,0,0,0,0,0,1,"8725 Henderson Road, REN 1, Tampa, FL, 33634",https://www.accgeorgia.net/content/dam/centene/aco/pdfs/accga/A1596RequiredACOInformationforPublicReporting.pdf,Karen Holt,Karen.Holt@WellCare.com,(281) 733-6257,Karen Holt,Karen.Holt@WellCare.com,(281) 733-6257,Kristin Buettner,Theresa Jacobs
A1596,"Center for Pan Asian Community Services, Inc.","Accountable Care Coalition of Georgia, LLC.",GA,4,01/01/2013,01/01/2024,0,0,N/A,1,0,1,0,0,0,0,0,1,"8725 Henderson Road, REN 1, Tampa, FL, 33634",https://www.accgeorgia.net/content/dam/centene/aco/pdfs/accga/A1596RequiredACOInformationforPublicReporting.pdf,Karen Holt,Karen.Holt@WellCare.com,(281) 733-6257,Karen Holt,Karen.Holt@WellCare.com,(281) 733-6257,Kristin Buettner,Theresa Jacobs
A1596,"Coastal Community Health Services, Inc.","Accountable Care Coalition of Georgia, LLC.",GA,4,01/01/2013,01/01/2024,0,0,N/A,1,0,1,0,0,0,0,0,1,"8725 Henderson Road, REN 1, Tampa, FL, 33634",https://www.accgeorgia.net/content/dam/centene/aco/pdfs/accga/A1596RequiredACOInformationforPublicReporting.pdf,Karen Holt,Karen.Holt@WellCare.com,(281) 733-6257,Karen Holt,Karen.Holt@WellCare.com,(281) 733-6257,Kristin Buettner,Theresa Jacobs
A1596,Curtis V. Cooper Primary Health Care Inc,"Accountable Care Coalition of Georgia, LLC.",GA,4,01/01/2013,01/01/2024,0,0,N/A,1,0,1,0,0,0,0,0,1,"8725 Henderson Road, REN 1, Tampa, FL, 33634",https://www.accgeorgia.net/content/dam/centene/aco/pdfs/accga/A1596RequiredACOInformationforPublicReporting.pdf,Karen Holt,Karen.Holt@WellCare.com,(281) 733-6257,Karen Holt,Karen.Holt@WellCare.com,(281) 733-6257,Kristin Buettner,Theresa Jacobs
A1596,"Diversity Health Center, Inc.","Accountable Care Coalition of Georgia, LLC.",GA,4,01/01/2013,01/01/2024,0,0,N/A,1,0,1,0,0,0,0,0,1,"8725 Henderson Road, REN 1, Tampa, FL, 33634",https://www.accgeorgia.net/content/dam/centene/aco/pdfs/accga/A1596RequiredACOInformationforPublicReporting.pdf,Karen Holt,Karen.Holt@WellCare.com,(281) 733-6257,Karen Holt,Karen.Holt@WellCare.com,(281) 733-6257,Kristin Buettner,Theresa Jacobs
A1596,"GEORGIA MOUNTAINS HEALTH SERVICES, INC.","Accountable Care Coalition of Georgia, LLC.",GA,4,01/01/2013,01/01/2024,0,0,N/A,1,0,1,0,0,0,0,0,1,"8725 Henderson Road, REN 1, Tampa, FL, 33634",https://www.accgeorgia.net/content/dam/centene/aco/pdfs/accga/A1596RequiredACOInformationforPublicReporting.pdf,Karen Holt,Karen.Holt@WellCare.com,(281) 733-6257,Karen Holt,Karen.Holt@WellCare.com,(281) 733-6257,Kristin Buettner,Theresa Jacobs
A1596,"Health Education Assessment and Leadership, Inc","Accountable Care Coalition of Georgia, LLC.",GA,4,01/01/2013,01/01/2024,0,0,N/A,1,0,1,0,0,0,0,0,1,"8725 Henderson Road, REN 1, Tampa, FL, 33634",https://www.accgeorgia.net/content/dam/centene/aco/pdfs/accga/A1596RequiredACOInformationforPublicReporting.pdf,Karen Holt,Karen.Holt@WellCare.com,(281) 733-6257,Karen Holt,Karen.Holt@WellCare.com,(281) 733-6257,Kristin Buettner,Theresa Jacobs
A1596,"J.C. Lewis Primary Healthcare Center, Inc","Accountable Care Coalition of Georgia, LLC.",GA,4,01/01/2013,01/01/2024,0,0,N/A,1,0,1,0,0,0,0,0,1,"8725 Henderson Road, REN 1, Tampa, FL, 33634",https://www.accgeorgia.net/content/dam/centene/aco/pdfs/accga/A1596RequiredACOInformationforPublicReporting.pdf,Karen Holt,Karen.Holt@WellCare.com,(281) 733-6257,Karen Holt,Karen.Holt@WellCare.com,(281) 733-6257,Kristin Buettner,Theresa Jacobs
